44.755: [GC 6481K->5923K(8248K), 0.0014220 secs]
44.767: [GC 6494K->5981K(8248K), 0.0018570 secs]
44.778: [GC 6557K->5979K(8248K), 0.0021690 secs]
46.864: [GC 6555K->6051K(8248K), 0.0037160 secs]
46.936: [GC 6620K->6093K(8248K), 0.0035010 secs]
48.020: [GC 6666K->6115K(8248K), 0.0026230 secs]
49.132: [GC 6691K->6119K(8248K), 0.0019460 secs]
50.182: [GC 6695K->6126K(8248K), 0.0027660 secs]
51.248: [GC 6702K->6173K(8248K), 0.0025030 secs]
52.304: [GC 6749K->6183K(8248K), 0.0022080 secs]
53.378: [GC 6759K->6194K(8248K), 0.0027490 secs]
54.410: [GC 6770K->6201K(8248K), 0.0026360 secs]
54.448: [GC 6772K->6192K(8248K), 0.0020980 secs]
55.501: [GC 6768K->6239K(8248K), 0.0022060 secs]
56.564: [GC 6815K->6283K(8248K), 0.0026320 secs]
57.603: [GC 6859K->6343K(8248K), 0.0035870 secs]
58.684: [GC 6919K->6325K(8248K), 0.0016430 secs]
58.726: [GC 6901K->6381K(8248K), 0.0028210 secs]
59.808: [GC 6957K->6421K(8248K), 0.0026640 secs]
60.828: [GC 6995K->6423K(8248K), 0.0017280 secs]
60.858: [GC 6995K->6462K(8248K), 0.0024470 secs]
61.955: [GC 7038K->6512K(8248K), 0.0029490 secs]
62.980: [GC 7088K->6548K(8248K), 0.0022630 secs]
63.032: [GC 7124K->6591K(8248K), 0.0023910 secs]
64.074: [GC 7167K->6640K(8248K), 0.0033350 secs]
65.119: [GC 7216K->6679K(8248K), 0.0019830 secs]
65.194: [GC 7255K->6723K(8248K), 0.0024300 secs]
66.245: [GC 7299K->6767K(8248K), 0.0025030 secs]
67.261: [GC 7343K->6800K(8248K), 0.0020320 secs]
67.342: [GC 7376K->6874K(8248K), 0.0024320 secs]
68.367: [GC 7450K->6934K(8248K), 0.0023710 secs]
68.416: [GC 7510K->6975K(8248K), 0.0025550 secs]
69.467: [GC 7551K->7033K(8248K), 0.0030920 secs]
70.482: [GC 7609K->7073K(8248K), 0.0018920 secs]
70.567: [GC 7649K->7141K(8248K), 0.0026730 secs]
71.594: [GC 7717K->7189K(8248K), 0.0025360 secs]
71.665: [GC 7765K->7246K(8248K), 0.0027460 secs]
72.697: [GC 7822K->7330K(8248K), 0.0030650 secs]
72.728: [GC 7906K->7330K(8248K), 0.0021410 secs]
73.787: [GC 7906K->7441K(8248K), 0.0078090 secs]
74.825: [GC 8017K->7452K(8248K), 0.0018570 secs]
75.016: [GC 8028K->7562K(8248K), 0.0032320 secs]
76.030: [GC 8138K->7603K(8248K), 0.0023220 secs]
76.078: [GC 8179K->7677K(8376K), 0.0028990 secs]
76.081: [Full GC 7677K->4737K(8376K), 0.1701250 secs]
77.280: [GC 5313K->4843K(8536K), 0.0029300 secs]
77.344: [GC 5419K->4925K(8536K), 0.0031610 secs]
78.366: [GC 5501K->4989K(8536K), 0.0029300 secs]
78.377: [GC 5565K->5055K(8536K), 0.0021290 secs]
78.396: [GC 5631K->5104K(8536K), 0.0026390 secs]
78.412: [GC 5680K->5135K(8536K), 0.0017690 secs]
79.434: [GC 5711K->5184K(8536K), 0.0022410 secs]
79.444: [GC 5760K->5222K(8536K), 0.0014700 secs]
79.454: [GC 5790K->5239K(8536K), 0.0014260 secs]
80.472: [GC 5815K->5213K(8536K), 0.0017960 secs]
80.707: [GC 5789K->5230K(8536K), 0.0039810 secs]
81.029: [GC 5806K->5251K(8536K), 0.0018840 secs]
81.556: [GC 5827K->5466K(8536K), 0.0027900 secs]
81.567: [GC 6042K->5668K(8536K), 0.0032550 secs]
